artist_name,track_name,key,mode,tempo,music_genre
Franz Joseph Haydn,"Adagio in F, H.XVII No.9",F,Major,70.914,Classical
Saving Abel,Addicted,G,Major,138.017,Rap
Saving Abel,Addicted,G,Major,138.017,Rock
Gucci Mane,Addicted,A#,Minor,134,Rap
Luciano Pavarotti,"Adeste Fideles (O come, all ye faithful)",C,Major,76.577,Classical
What So Not,Adieu,E,Minor,144.097,Electronic
Tchami,"Adieu, Pt. II",B,Minor,115.992,Electronic
In This Moment,Adrenalize,F#,Major,132.014,Alternative
In This Moment,Adrenalize,F#,Major,132.014,Rock
Alvvays,Adult Diversion,G#,Major,177.328,Rock
Wayne Shorter,Adventures Aboard the Golden Mean (The Wayne Shorter Quartet Live In London) - Live,D,Major,168.976,Jazz
Santana,Africa Bamba,A,Minor,99.287,Blues
Melanie De Biasio,Afro Blue,A,Minor,101.984,Jazz
SLANDER,After All - Habstrakt Remix,C#,Major,128.005,Electronic
David Crowder Band,After All (Holy),C#,Major,66.668,Alternative
Seven Lions,After Dark (feat. Fiora) - Wooli & SampliFire Remix,E,Minor,74.949,Electronic
Ronny Jordan,After Hours (The Antidote),F#,Minor,169.351,Jazz
King Lil G,After My Death,C,Major,90.976,Rap
Joe McBride,After Sunset,E,Minor,88.07,Jazz
Nickelback,After The Rain,B,Major,142.02,Alternative
Bassnectar,After Thought,C#,Minor,179.982,Electronic
Oddisee,After Thoughts,G,Minor,172.208,Alternative
Brennan Savage,Afterlife,A#,Minor,95.006,Rap
Brennan Savage,Afterlife,A#,Minor,95.006,Hip-Hop
Royal Tusk,Aftermath,F#,Minor,144.135,Alternative
Royal Tusk,Aftermath,F#,Minor,144.135,Rock
Tricky,Aftermath,A#,Minor,80.835,Jazz
Gramatik,Afternoon Soul,C,Major,91.884,Jazz
Pouya,Aftershock,G,Major,90.069,Rap
Kevin Gates,Again,C,Minor,129.991,Hip-Hop
Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,C#,Major,116.271,Rock
Greta Van Fleet,Age Of Man,F#,Minor,136.912,Rock
Glass Animals,Agnes,C#,Minor,165.033,Rock
Yung Lean,Agony,E,Major,99.891,Rap
Willie Colón,Aguanile,C,Minor,123.762,Jazz
Robert Glasper Experiment,Ah Yeah,F,Minor,71.972,Jazz
Ahmad Jamal,Ahmad's Blues,F,Major,173.36,Jazz
Grand Funk Railroad,Aimless Lady - Remastered,E,Major,135.217,Blues
Kenny Chesney,Ain't Back Yet,A#,Major,106.958,Country
Graveyard,Ain't Fit To Live Here,C,Major,77.781,Blues
Stevie Ray Vaughan,"Ain't Gone 'N' Give up on Love - Live at Montreux Casino, Montreux, Switzerland - July 1985",C#,Major,143.496,Blues
Aim,Ain't Got Time to Waste,A,Minor,100.911,Electronic
Gary Clark Jr.,Ain't Messin 'Round,A,Major,140.468,Blues
Gary Clark Jr.,Ain't Messin 'Round - Live,A,Major,139.465,Blues
Johnny Cash,Ain't No Grave,A,Minor,79.518,Country
"Bobby ""Blue"" Bland",Ain't No Love In the Heart of the City,A,Minor,159.858,Blues
Christina Aguilera,Ain't No Other Man,G,Major,127.91,Rap
Eva Cassidy,Ain't No Sunshine,D,Minor,128.874,Jazz
Taj Mahal,Ain't Nobody's Business,G,Major,173.968,Blues
J. Cole,Ain't That Some Shit (Interlude),G,Major,76.471,Rap
Nick Moss & The Flip Tops,Ain't Times Hard,D,Major,98.21,Blues
Kevin Gates,Ain't Too Hard,F#,Major,80.775,Rap
Spencer Crandall,Ain't Working for Me,F#,Major,150.171,Country
Frederick Delius,Air and Dance,A,Minor,74.359,Classical
Jeff Beck,Air Blower,B,Major,109.788,Blues
Nelly,Air Force Ones,E,Minor,164.123,Hip-Hop
Jeezy,Air Forces,B,Major,160.01,Rap
empty_field,Airbag,D,Major,167.946,Rock
Tego Calderon,Al Natural (feat. Yandel),A#,Minor,95.01,Hip-Hop
BROCKHAMPTON,ALASKA,A,Major,75.018,Rap
Kev Brown,Albany,C#,Major,93.406,Jazz
Eric Clapton,"Alberta - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",C,Major,85.191,Blues
Aphex Twin,Alberto Balsalm,D#,Major,93.994,Electronic
The Bloody Beetroots,Albion,F,Major,129.995,Electronic
empty_field,Alborada Del Gracioso,D,Major,144.524,Classical
Pyotr Ilyich Tchaikovsky,"Album for the Young, Op. 39: No. 3. Mamma (Maman)",G,Major,87.273,Classical
Robert Schumann,"Album for the Young, Op. 68: 6. Armes Waisenkind",A,Minor,65.227,Classical
J. Cole,Album of the Year - Freestyle,A#,Minor,94.211,Rap
Felix Mendelssohn,"Albumblatt In E Minor, Op.117, MWV U134",E,Minor,71.767,Classical
Jerry Vale,Al-di-la,C,Major,69.881,Jazz
Leslie Odom Jr.,Alexander Hamilton,B,Minor,131.998,Jazz
Wisin & Yandel,Algo Me Gusta De Ti,B,Minor,127.964,Hip-Hop
Muse,Algorithm (Alternate Reality Version),G#,Major,84.96,Rock
Andrea Bocelli,Ali di Libertà - Acoustic,C#,Major,133.96,Classical
Atlanta Rhythm Section,Alien,F,Minor,122.887,Blues
Dirty Audio,Alien Cookies,B,Minor,144.982,Electronic
VOLA,Alien Shivers,F#,Minor,92.212,Jazz
empty_field,Alive,F,Major,119.943,Alternative
Empire of the Sun,Alive,F,Major,119.943,Rock
The Mooney Suzuki,Alive & Amplified,D,Major,184.084,Blues
Hoodie Allen,All About It (feat. Ed Sheeran),C#,Minor,89.988,Rap
"Earth, Wind & Fire",All About Love (First Impression),A,Minor,99.861,Jazz
AC Slater,All About Paper,B,Minor,133.015,Electronic
empty_field,All Alone,G,Major,148.151,Alternative
Gorillaz,All Alone,G,Major,148.151,Rock
Bonnie Raitt,All Alone With Something To Say,D,Major,166.047,Blues
Jamie N Commons,All Along The Watchtower - Alex Da Kid Remix,G,Minor,185.639,Blues
Nirvana,All Apologies,C#,Major,113.169,Rock
empty_field,All Around Man,F,Major,145.128,Blues
Flyleaf,All Around Me,A,Major,146.922,Rap
Flyleaf,All Around Me,A,Major,146.975,Alternative
Sturgill Simpson,All Around You,A,Major,185.725,Alternative
John Rutter,All Bells in Paradise,D,Major,72.024,Classical
Run The Jewels,All Due Respect,C#,Major,142.768,Hip-Hop
Jhay Cortez,All Eyes On Me,C,Major,171.076,Hip-Hop
The Game,All Eyez (feat. Jeremih),C,Major,76.835,Rap
Gustavo Santaolalla,All Gone,G,Minor,71.99,Classical
Gustavo Santaolalla,All Gone (Aftermath),E,Minor,38.137,Classical
Illa J,All Good,G#,Major,84.415,Jazz
Jamiroquai,All Good In The Hood,D,Major,116.016,Electronic
Jamiroquai,All Good In The Hood,D,Major,116.016,Jazz
Kari Jobe,All He Says I Am (Extended Version),A,Major,115.927,Alternative
Slipknot,All Hope Is Gone,C#,Major,100.061,Alternative
Key Glock,All I Kno Is Trap,C#,Major,126.024,Hip-Hop
The Weeknd,All I Know,G#,Minor,120.012,Rap
Switchfoot,ALL I NEED,A,Major,162.114,Rock
Noname,All I Need (feat. Xavier Omär),F#,Minor,91.564,Alternative
Noname,All I Need (feat. Xavier Omär),F#,Minor,91.564,Rap
Juicy J,All I Need (One Mo Drank),G#,Major,135.957,Rap
T-Pain,All I Want (feat. Flipp Dinero),E,Major,111.913,Hip-Hop
Korn,All In the Family,G,Major,92.803,Alternative
Georgs Pelēcis,All in the Past,D,Minor,57.69,Classical
Slushii,All I've Ever Wanted,G#,Minor,119.946,Electronic
Lil Dicky,All K,C#,Major,140.004,Rap
Watsky,All Like Whatever,E,Minor,77.543,Rap
Drake,All Me,C#,Major,122.006,Rap
Drake,All Me,C#,Major,122.006,Hip-Hop
Lil Uzi Vert,All My Chains,F#,Minor,138.028,Rap
LCD Soundsystem,All My Friends (Edit),A,Major,142.599,Electronic
WALK THE MOON,All Night,C#,Major,155.014,Rock
Destructo,All Nite (feat. E-40 & Too $hort),E,Minor,126.035,Electronic
Destructo,All Nite (feat. E-40 & Too $hort) - Getter Remix,C,Major,129.972,Electronic
MercyMe,All of Creation,A#,Major,172.05,Alternative
Willie Nelson,All of Me,G,Major,144.131,Country
Billie Holiday,All of You,G,Minor,120.855,Blues
Anderson East,All On My Mind - Acoustic,C#,Minor,108.944,Blues
Theory of a Deadman,All or Nothing,A#,Minor,152.053,Alternative
Theory of a Deadman,All or Nothing,A#,Minor,152.053,Rap
Theory of a Deadman,All or Nothing,A#,Minor,152.053,Rock
Falcons,All Over Again,A,Major,102.07,Electronic
The Ninetys,All Saints,B,Major,119.964,Electronic
Polo G,All She Wants,B,Minor,129.91,Rap
Wale,All Star Break Up,D,Major,139.247,Rap
Jean-Michel Jarre,ALL THAT YOU LEAVE BEHIND - movement 4,G,Minor,119.964,Electronic
Bibio,all the flowers,E,Major,101.045,Electronic
Childish Gambino,All The Shine,C,Minor,80.077,Hip-Hop
Sonny Rollins,All The Things You Are,F,Minor,129.594,Jazz
empty_field,All The Way Turnt Up,B,Minor,131.996,Hip-Hop
Grandtheft,All The Way Up (feat. Lia Ices & Brasstracks),G,Minor,89.84,Electronic
Plies,All Thee Above (feat. Kevin Gates),C#,Major,145.93,Hip-Hop
Jeezy,All There,E,Major,72.475,Hip-Hop
Atlas Genius,All These Girls,C#,Major,148.018,Rock
Bullet For My Valentine,All These Things I Hate (Revolve Around Me),F#,Minor,93.999,Alternative
BT,All These Wounds,E,Minor,128.998,Electronic
George Harrison,All Things Must Pass,A,Major,122.514,Rock
Point Point,All This,A,Major,149.969,Electronic
Widespread Panic,All Time Low,A,Minor,130.236,Blues
The Lacs,All Weekend Long,B,Minor,130.034,Country
Hunter Hayes,All You Ever,D#,Minor,140.139,Country
Michelle Branch,All You Wanted,G#,Major,96.103,Rock
Adam Hambrick,"All You, All Night, All Summer",A,Minor,177.917,Country
Stevie Ray Vaughan,"All Your Love I Miss Loving - Live at Steamboat 1874, Austin, TX - April 1980",F,Major,129.855,Blues
Casting Crowns,All You've Ever Wanted,A,Major,157.878,Alternative
Thomas Rhett,All-American Middle Class White Boy,F,Major,136.991,Country
Eric Whitacre,Alleluia,C#,Major,80.666,Classical
Mark Chesnutt,Almost Goodbye,C,Minor,132.35,Country
Nat King Cole,Almost Like Being In Love - Remastered,G,Major,182.516,Jazz
empty_field,Almost Over You,G,Major,101.069,Country
Jordan Comolli,Alone,D#,Major,110.025,Electronic
Heart,Alone,C#,Major,175.088,Rock
empty_field,Alone (Unplugged),D,Major,115.626,Blues
Diana Krall,Alone Again (Naturally),F,Major,70.9,Jazz
Jack White,Alone In My Home,A,Major,96.024,Blues
Chet Baker,Alone Together,D,Minor,110.471,Jazz
Dan + Shay,Alone Together,C#,Major,179.975,Country
empty_field,Alone With Me,C#,Minor,141.963,Rock
In Her Own Words,Alone with You,D,Major,101.162,Alternative
Vincent,Alpha,F,Minor,148.23,Electronic
Jauz,Alpha [LAXX Remix],F,Minor,150.003,Electronic
Air,Alpha Beta Gaga,G,Major,169.968,Electronic
Keem the Cipher,Alpha.,G#,Minor,160.293,Jazz
Blackalicious,Alphabet Aerobics,A#,Minor,97.052,Alternative
Leifur James,Alpine,F,Minor,112.936,Jazz
Kodak Black,Already,A,Minor,120.001,Rap
Parmalee,Already Callin' You Mine,C#,Major,120.061,Country
Alison Wonderland,Already Gone,C,Minor,135.088,Electronic
Casting Crowns,Already There,B,Major,129.971,Alternative
Kehlani,Already Won,C#,Minor,119.791,Rap
Ivan Ave,Also,C#,Major,81.977,Jazz
Richard Strauss,"Also sprach Zarathustra, Op. 30, TrV 176: VI. Von der Wissenschaft (Live)",B,Major,167.979,Classical
Richard Strauss,"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)",C,Major,76.679,Classical
Sir Sly,Altar,C,Major,57.025,Alternative
Jason Becker,Altitudes,B,Minor,113.241,Classical
Cults,Always Forever,G#,Major,163.378,Alternative
The Kooks,Always Where I Need To Be,B,Major,168.355,Rock
Dixie Chicks,Am I the Only One (Who's Ever Felt This Way),C,Major,132.08,Country
empty_field,Amazing Grace,G#,Major,88.426,Jazz
The Album Leaf,Ambo,C,Major,100.072,Rock
Kid Rock,Amen,C,Major,103.994,Alternative
for KING & COUNTRY,Amen,G,Major,90.001,Rock
Aaron Watson,Amen Amigo,B,Major,123.025,Country
Hayes Carll,American Dream,B,Major,96.88,Country
empty_field,american dream - electric lady sessions,C,Major,102.72,Electronic
Tom MacDonald,American Dreamz,C,Major,95.316,Country
Upchurch,American Grown,C,Major,147.987,Country
Frederick Delius,American Rhapsody,C#,Major,97.5,Classical
The Guess Who,American Woman - Remastered,D,Major,92.697,Country
Yelawolf,American You,A,Major,82.986,Hip-Hop
Eminem,Amityville,D,Minor,80.06,Rap
Eminem,Amityville,D,Minor,80.06,Hip-Hop
Inspector,Amnesia,F#,Minor,144.783,Alternative
John Philip Sousa,Among My Souvenirs,C,Major,66.964,Classical
Nicky Jam,Amor Prohibido (feat. Sean Paul & Konshens),G#,Minor,156.12,Hip-Hop
Rubén Blades,Amor y Control,G,Major,88.786,Jazz
Ryuichi Sakamoto,Amore,F,Major,74.395,Classical
Canned Heat,Amphetamine Annie,G#,Major,145.465,Blues
Thom Yorke,An Audition,D#,Major,86.788,Electronic
Franz Schubert,"An die Musik, D.547 (Arr. Cello & Piano)",G,Major,74.492,Classical
Boards of Canada,An Eagle In Your Mind,F#,Major,96.012,Electronic
Gary Stewart,An Empty Glass,G,Major,89.446,Country
empty_field,An Honest Man,E,Minor,129.904,Blues
Skillet,Anchor,G#,Major,160.126,Alternative
Róisín Murphy,Ancora Tu - Original Mix,F#,Minor,112.001,Electronic
Esther Phillips,And I Love Him,D#,Minor,106.37,Jazz
Esther Phillips,And I Love Him,D#,Minor,106.37,Blues
empty_field,And She Was,A,Major,126.477,Rock
Reba McEntire,And Still,F,Major,74.953,Country
Blind Guardian,And Then There Was Silence - Remastered 2017,F,Minor,135.92,Classical
Norah Jones,And Then There Was You,A#,Major,84.625,Jazz
TroyBoi,And Wot?,C#,Major,118.494,Electronic
The Beatles,And Your Bird Can Sing - Remastered 2009,E,Major,132.59,Rock
Carl Philipp Emanuel Bach,"Andante con tenerezza, H. 135, Wq. 65/32",A,Minor,70.847,Classical
Frédéric Chopin,"Andante spianato and Grande polonaise in E flat, Op.22 : Andante spianato. Tranquillo -",G,Major,70.524,Classical
Frédéric Chopin,"Andantino in G Minor, B. 117 ""Wiosna""",G,Minor,75.396,Classical
Howard Shore,Andúril - Flame Of The West,A,Minor,59.9,Classical
The Replacements,Androgynous,B,Major,106.484,Country
Jimi Hendrix,Angel,G#,Major,133.958,Blues
Shaggy,Angel,F#,Major,85.286,Rap
Jeff Healey,Angel Eyes,C,Major,129.668,Blues
Buddy Miller,Angel From Montgomery,F,Major,128.969,Country
John Prine,Angel from Montgomery,C,Major,131.653,Alternative
John Prine,Angel From Montgomery,C,Major,131.653,Rock
Daniel Taylor,"Angel Heart, Pt. 1: Chapter 2b, Mother Nature's Son (Arr. D. Sanford for Voices & Ensemble)",D,Major,100.975,Classical
The Cab,Angel With A Shotgun,B,Minor,124.045,Rock
The Lumineers,Angela (Single Version),E,Major,130.308,Rock
empty_field,Angel's Egg: Prelude,E,Minor,107.565,Classical
Dragony,Angels on Neon Wings,A,Major,95.001,Classical
Alice In Chains,"Angry Chair - Live at the Majestic Theatre, Brooklyn, NY - April 1996",G#,Major,109.413,Alternative
MISSIO,Animal,B,Minor,140.125,Alternative
Neon Trees,Animal,F,Major,148.026,Rock
Red Hot Chili Peppers,Animal Bar,D,Major,146.82,Alternative
Bonobo,Animals,E,Minor,134.993,Electronic
Bonobo,Animals,E,Minor,134.993,Jazz
Thee Oh Sees,Animated Violence,D,Major,81.446,Blues
Smino,Anita,C#,Major,63.576,Hip-Hop
The Beatles,Anna (Go To Him) - Remastered 2009,D,Major,109.286,Rock
Whiskey Myers,Anna Marie,C,Major,90.492,Country
Azealia Banks,Anna Wintour,G,Major,121.988,Hip-Hop
Goldfrapp,Annabel,D,Minor,99.947,Electronic
Franz Liszt,"Annees de pelerinage, 1st year, Switzerland, S160/R10: No. 9. Les cloches de Geneve (The Bells of Geneva)",B,Major,129.6,Classical
Dave East,Annoying,F#,Minor,121.929,Rap
Billy Currington,Another Day Without You,B,Minor,133.96,Country
NGHTMRE,Another Dimension,B,Minor,173.954,Electronic
Liquid Tension Experiment,Another Dimension,A,Major,110.744,Classical
Katy McAllister,Another Empty Bottle,G,Minor,144.226,Rock
Queens of the Stone Age,Another Love Song,A,Major,146.251,Blues
Peter White,Another Rainy Day,C,Minor,81.793,Jazz
The Black Crowes,Another Roadside Tragedy,A#,Major,108.242,Blues
empty_field,Another Try,A#,Major,123.251,Country
Hollywood Undead,Another Way Out,A,Major,149.966,Alternative
Hercules & Love Affair,Answers Come In Dreams - Original Mix,A#,Major,116.007,Electronic
Emancipator,Anthem,A#,Major,170.032,Jazz
Greta Van Fleet,Anthem,B,Major,154.067,Blues
Breaking Benjamin,Anthem Of The Angels,E,Minor,115.012,Alternative
Lil Texas,Anthem X,E,Minor,100.012,Electronic
Julia Wolfe,Anthracite Fields: IV. Flowers,A,Minor,123.711,Classical
Loscil,Anthropocene,A,Minor,115.986,Electronic
Hidden Orchestra,Antiphon,G,Minor,79.99,Jazz
Bmike,Anxiety,C,Minor,171.945,Hip-Hop
27CLUB,ANXIOUS,G#,Major,154.996,Rap
Typical Cats,Any Day,D#,Major,90.992,Jazz
Norman Brown,Any Love,F,Minor,94.133,Jazz
Queensrÿche,Anybody Listening? - Remastered/2003,D,Major,131.905,Classical
Derek & The Dominos,Anyday - 40th Anniversary Version / 2010 Remastered,D,Major,168.878,Blues
Tedeschi Trucks Band,Anyhow - Live,A,Major,94.919,Blues
John Wolf,Anymore,F,Minor,159.981,Hip-Hop
Krystal Keith,Anyone Else,G#,Major,110.021,Country
Tony Bennett,Anything Goes,C,Major,154.623,Jazz
Big Smo,Anything Goes (feat. Alexander King),F#,Major,78.998,Country
Jake Owen,Anywhere With You,F,Major,151.988,Country
Jake Owen,Anywhere With You,F,Major,151.988,Rock
Logic,Anziety,C#,Major,122.898,Rap
Logic,Anziety,C#,Major,122.898,Hip-Hop
Shuggie Otis,Aphelion,C,Minor,98.281,Jazz
Tame Impala,Apocalypse Dreams,G#,Major,127.995,Rock
Lookas,Apollo,G#,Minor,144.935,Electronic
Luke Bryan,Apologize,D#,Major,127.991,Country
empty_field,Apologize Broken Down - Acoustic,D,Major,82.995,Alternative
Aaron Copland,Appalachian Spring Suite,E,Major,79.758,Classical
empty_field,Appalachian Spring: III. Moderato,F#,Major,177.179,Classical
Aaron Copland,Appalachian Spring: VII. Doppio movimento,C#,Major,77.903,Classical
The White Stripes,"Apple Blossom - From ""The Hateful Eight"" Soundtrack",A,Major,126.339,Blues
Travis Scott,Apple Pie,D#,Minor,137.945,Rap
Count Basie,April In Paris,E,Minor,124.946,Jazz
Kenny G,April Rain,F,Minor,111.985,Jazz
Jethro Tull,Aqualung,G,Minor,122.569,Blues
Jethro Tull,Aqualung,G,Minor,122.569,Rock
Incubus,Aqueous Transmission,A,Major,151.937,Rock
Richard Strauss,"Arabella, Op. 79, TrV 263, Act I: Die Karten fallen besser als das letzte Mal (Live)",A#,Minor,65.751,Classical
Richard Strauss,"Arabella, Op. 79, TrV 263, Act II: Der ball begehrt nach seiner Königin (Live)",A,Minor,102.087,Classical
Richard Strauss,"Arabella, Op. 79, TrV 263, Act II: Sie wollen mich heiraten (Live)",G#,Major,93.515,Classical
Richard Strauss,"Arabella, Op. 79, TrV 263, Act II: Und du wirst mein Gebieter sein (Live)",E,Major,72.617,Classical
Richard Strauss,"Arabella, Op. 79, TrV 263, Act II: Wer, Herr Gott, hat diesem Gesicht (Live)",A#,Minor,83.182,Classical
Richard Strauss,"Arabella, Op. 79, TrV 263, Act III: Ich gratuliere Ihnen, Herr Leutnant (Live)",C#,Major,135.987,Classical
Arthur Rubinstein,Arabeske Op. 18,C,Major,87.145,Classical
GusGus,Arabian Horse,A#,Minor,123.023,Electronic
Thomas Adès,Arcadiana: VI. O Albion,D#,Major,78.232,Classical
3LAU,Arcana,E,Minor,149.991,Electronic
1takejay,Arco,A,Major,99.944,Rap
